id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34534440,SuperHost Downtown Michigan Ave in Historic Area,49626033,Roma,,Near North Side,41.89768,-87.62209,Entire home/apt,150,31,1,2019-07-31,0.56,14,365
34534824,SuperHost Michigan Ave GOLD COAST w/ QUEEN BED,49626033,Roma,,Near North Side,41.89354,-87.6168,Entire home/apt,150,31,0,,,14,365
34537370,"FUN, BRIGHT, COZY, VINTAGE CHI STYLE APT -GOATHOTE",244000490,Goathote,,West Town,41.8954,-87.68575,Entire home/apt,173,1,20,2019-09-08,4.48,5,176
34539701,"A unique place to stay, bright and well located!",57114411,Anne,,Lake View,41.94374,-87.64238,Entire home/apt,180,7,2,2019-08-18,0.86,1,159
34539925,Luxuriously Modern Condo near Wrigleyville,225715038,Tom,,North Center,41.95423,-87.68514,Entire home/apt,308,3,13,2019-08-24,3.28,6,313
34540537,Domio | South Loop | Central 2 BR + Yoga Room and Fitness Center,201057529,Domio,,Near South Side,41.86574,-87.62513,Entire home/apt,299,3,3,2019-09-15,3,84,293
34540771,Domio I South Loop I Luxe 2 BR + Sauna and Fitness Center,201057529,Domio,,Near South Side,41.86582,-87.62482,Entire home/apt,299,3,3,2019-09-20,3,84,299
34540825,Domio I South Loop I Vibrant 2 BR + Pool and Fitness Center,201057529,Domio,,Near South Side,41.86412,-87.62395,Entire home/apt,299,3,4,2019-09-21,4,84,293
34540892,Domio I South Loop I Modern 2 BR + Pool and Fitness Center,201057529,Domio,,Near South Side,41.86565,-87.62411,Entire home/apt,299,3,2,2019-09-10,2,84,309
34540959,Domio I South Loop I Stylish 2 BR + Pool and Fitness Center,201057529,Domio,,Near South Side,41.8645,-87.62475,Entire home/apt,299,3,3,2019-09-08,3,84,302
34541015,Domio I South Loop I Hip 2 BR + Spa and Gym,201057529,Domio,,Near South Side,41.86553,-87.62351,Entire home/apt,299,3,2,2019-09-15,2,84,297
34541121,Loop Getaway w/ ♔ King Bed ♔ & Gym,212229650,Gerald,,Loop,41.88697,-87.61966,Entire home/apt,400,2,1,2019-06-30,0.35,6,87
34541497,King Bed & Netflix & Gym & Millennium Park,163739390,Ralph,,Loop,41.88616,-87.61719,Entire home/apt,400,2,0,,,9,87
34543228,"Timber Loft in Loop, walk to the Park and more!",36853904,Stephen,,Loop,41.87613,-87.62946,Private room,100,1,3,2019-08-03,0.69,1,13
34545426,Large groups welcome! 20+ by Wrigley and Logan.,17251828,Kaushal,,Avondale,41.9341,-87.69032,Entire home/apt,1400,2,0,,,2,175
34546362,The Inn Above,40394055,Brad,,West Town,41.89906,-87.68789,Entire home/apt,170,2,2,2019-09-15,1.20,5,93
34563255,"Mega & Modern 5BR in North Center, Near Wrigley",2496361,Matt,,North Center,41.95578,-87.68452,Entire home/apt,249,3,12,2019-09-02,2.88,10,200
34563482,"King Bed Studio, Quick Walk to the Best of Chicago",260803521,Andrew,,Loop,41.88796,-87.62137,Entire home/apt,400,2,1,2019-09-07,1,7,87
34563816,King Bed Modern Apartment near Lakeshore Park,260805765,Paul,,Loop,41.88626,-87.62164,Entire home/apt,400,2,1,2019-07-20,0.46,6,87
34564058,"King Bed, Full Kitchen & Pool near The Bean",260807399,John,,Loop,41.88514,-87.62306,Entire home/apt,400,2,2,2019-08-10,0.95,6,87
34565182,Gold Coast/Michigan Ave/Downtown 1 Bedroom,259191558,Walton,,Near North Side,41.89997,-87.62476,Entire home/apt,350,2,0,,,5,20
34567612,New Comfort in Boutique Hotel Near Hancock Center,154214901,Alan,,Near North Side,41.89972,-87.62288,Private room,100,2,6,2019-09-14,1.59,1,41
34568002,SuperHost #1 Location DOWNTOWN Queen Bed + SUNDECK,3965428,Rob,,Near North Side,41.89217,-87.61704,Entire home/apt,120,31,1,2019-08-11,0.70,75,324
34571793,Cozy Private Apartment in Bronzeville,260857109,Xeno,,Grand Boulevard,41.80961,-87.61339,Entire home/apt,159,3,1,2019-06-04,0.27,2,180
34572407,"Million $ beach view-close to downtown, airport.",121483549,Mukul,,Edgewater,41.98568,-87.65641,Entire home/apt,115,1,20,2019-09-20,5.31,1,339
34573069,North Chicago Restful Nights.near the Logan Square,255876795,Kimberly,,Belmont Cragin,41.92595,-87.74346,Private room,49,2,26,2019-09-16,5.82,1,73
34573187,3 BR / 1.5 BA Lincoln Park Coach House,102108196,Denise & Mike,,Lincoln Park,41.92283,-87.66593,Entire home/apt,154,2,5,2019-09-15,1.32,3,345
